Rk,Player,Nation,Pos,Squad,Comp,Born,MP,Starts,Min,90s,Gls,Ast,G+A,PK,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Ast,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Cmp_P,Att_P,SCA,SCA90,GCA,Err,Tkl,TklW,Blocks,Int,Tkl+Int,Clr
30,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,2002,15,10,843,9.4,3,3,6,0,3,0,3.2,3.2,2.5,5.7,43,16,90,0.32,388,8,32,159,204,193,255,33,3.53,4,0,9,7,10,5,14,5
31,Simon Adingra,ci CIV,"FW,MF",Brighton,eng Premier League,2002,18,6,612,6.8,2,1,3,0,0,0,1.5,1.5,1.1,2.6,23,9,79,0.15,320,5,51,97,177,161,216,23,3.38,3,1,14,7,6,6,20,3
32,Amine Adli,ma MAR,"MF,FW",Leverkusen,de Bundesliga,2000,10,3,313,3.5,1,0,1,0,1,0,1.2,1.2,0.1,1.3,17,11,50,0,204,3,22,56,129,112,156,13,3.74,0,0,9,5,5,0,9,3
33,Yacine Adli,fr FRA,MF,Fiorentina,it Serie A,2000,20,14,1120,12.4,3,4,7,0,3,1,0.5,0.5,2.2,2.6,22,96,23,0.32,913,26,161,551,211,649,798,45,3.61,8,0,31,18,11,6,37,18
34,Adrián,es ESP,GK,Betis,es La Liga,1987,7,7,630,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,250,212,249,1,0,187,243,0,0,0,0,0,0,0,0,0,3
35,Adryelson,br BRA,DF,Lyon,fr Ligue 1,1998,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,5,1,2,3,0,1,3,0,0,0,0,0,0,0,1,1,1
36,Vasilije Adžić,me MNE,"MF,FW",Juventus,it Serie A,2006,3,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,1,2,0,19,0,2,7,10,12,16,2,6.92,0,0,2,2,0,0,2,0
37,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,1997,8,5,382,4.2,0,0,0,0,0,0,0.2,0.2,0.3,0.4,4,20,9,0,241,6,35,142,65,177,203,9,2.11,0,0,7,4,3,5,12,2
38,Oladapo Afolayan,eng ENG,"FW,MF",St. Pauli,de Bundesliga,1998,23,13,1331,14.8,2,1,3,0,2,0,2.7,2.7,3.2,5.9,45,26,88,0.07,605,11,74,253,290,269,380,43,2.91,6,0,16,8,14,7,23,17
39,Emmanuel Agbadou,ci CIV,DF,Wolves,eng Premier League,1997,5,5,420,4.7,0,0,0,0,2,0,0,0,0,0,1,9,0,0,309,58,180,122,10,200,252,4,0.86,0,0,14,9,5,6,20,25
40,Emmanuel Agbadou,ci CIV,DF,Reims,fr Ligue 1,1997,14,14,1260,14,0,0,0,0,3,0,0.5,0.5,0.3,0.8,10,77,0,0,1080,178,565,474,45,810,922,21,1.5,1,1,25,17,22,19,44,64
41,Asher Agbinone,eng ENG,MF,Crystal Palace,eng Premier League,2005,2,0,6,0.1,0,0,0,0,0,0,0,0,0,0.1,2,0,1,0,8,0,0,2,6,2,3,1,15,0,0,2,1,0,0,2,0
42,Jeremy Agbonifo,se SWE,"FW,MF",Lens,fr Ligue 1,2005,4,0,147,1.6,1,0,1,0,0,0,0.5,0.5,0.1,0.6,6,2,17,0,52,0,9,17,28,21,29,2,1.22,0,1,3,3,0,1,4,0
43,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,2000,14,14,1206,13.4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,437,357,436,1,0,281,411,3,0.22,0,0,0,0,0,0,0,4
44,Lucien Agoume,fr FRA,MF,Sevilla,es La Liga,2002,24,13,1156,12.8,0,0,0,0,3,1,0.3,0.3,0.6,0.9,13,56,13,0,807,34,192,509,115,553,678,28,2.18,4,0,34,11,19,20,54,15
45,Felix Agu,de GER,DF,Werder Bremen,de Bundesliga,1999,12,11,900,10,2,0,2,0,1,0,0.7,0.7,0.9,1.5,18,18,74,0,527,27,163,220,145,341,427,18,1.8,1,0,12,6,9,9,21,27
46,Álvaro Aguado,es ESP,MF,Espanyol,es La Liga,1996,11,4,406,4.5,0,0,0,0,2,0,0.4,0.4,0,0.5,9,25,2,0,255,6,57,141,60,158,205,13,2.88,0,1,4,2,6,3,7,5
47,Lorenzo Aguado,es ESP,DF,Real Madrid,es La Liga,2002,2,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,2
48,Nayef Aguerd,ma MAR,DF,Real Sociedad,es La Liga,1996,19,19,1580,17.6,0,0,0,0,5,0,2.2,2.2,0.1,2.3,23,70,1,0,1388,121,631,712,48,1045,1197,15,0.85,1,0,30,24,20,13,43,86
49,Ruben Aguilar,fr FRA,DF,Lens,fr Ligue 1,1993,9,6,526,5.8,1,1,2,0,2,0,0.3,0.3,0.7,1,8,29,53,0.17,498,10,115,231,157,345,423,13,2.22,2,0,24,13,14,7,31,8
50,Naouirou Ahamada,fr FRA,"MF,FW",Rennes,fr Ligue 1,2002,3,0,58,0.6,0,0,0,0,0,0,0,0,0,0,2,1,1,0,31,1,12,16,3,17,22,2,3.1,0,0,0,0,0,2,2,2
51,Honest Ahanor,it ITA,DF,Genoa,it Serie A,2008,2,1,85,0.9,0,0,0,0,0,0,0.1,0.1,0,0.1,1,2,3,0,24,1,9,6,9,12,17,2,2.12,0,0,2,1,0,0,2,2
52,Erik Ahlstrand,se SWE,"FW,MF",St. Pauli,de Bundesliga,2001,5,0,43,0.5,0,0,0,0,0,0,0,0,0,0,1,1,3,0,22,0,2,10,10,10,13,0,0,0,0,0,0,1,1,1,1
53,Jean-Eudes Aholou,ci CIV,MF,Angers,fr Ligue 1,1994,22,22,1661,18.5,2,0,2,0,7,0,1.7,1.7,0.4,2,14,62,14,0,908,40,225,546,146,570,668,28,1.52,1,0,46,29,30,33,79,28
54,Joseph Aidoo,gh GHA,DF,Valladolid,es La Liga,1995,3,3,244,2.7,0,0,0,0,0,0,0,0,0,0,0,3,0,0,183,24,122,62,0,138,163,1,0.37,0,0,3,3,0,3,6,10
55,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,1995,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,0,4,4,0,6,7,0,0,0,0,1,0,0,0,1,0
56,Ayman Aiki,fr FRA,"FW,MF",Saint-Étienne,fr Ligue 1,2005,5,1,127,1.4,0,0,0,0,0,0,0.1,0.1,0,0.1,4,5,8,0,48,1,10,20,19,17,29,1,0.71,0,0,3,3,1,1,4,0
57,Ola Aina,ng NGA,DF,Nott'ham Forest,eng Premier League,1996,27,27,2351,26.1,2,1,3,0,2,0,0.6,0.6,0.7,1.3,52,88,50,0.04,1364,128,499,577,313,783,1075,48,1.84,2,3,50,39,29,29,79,82
58,Rayan Aït-Nouri,dz ALG,DF,Wolves,eng Premier League,2001,26,26,2212,24.6,3,5,8,0,6,1,1.8,1.8,2.5,4.3,58,86,125,0.2,1476,73,411,643,442,1008,1198,51,2.07,8,1,66,38,34,19,85,54
59,Junior Ajayi,ci CIV,FW,Hellas Verona,it Serie A,2004,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,1998,14,13,1045,11.6,0,0,0,0,3,0,0.6,0.6,1,1.6,21,44,28,0,604,39,199,288,122,392,497,15,1.29,2,0,17,12,14,8,25,35
61,Ludovic Ajorque,fr FRA,FW,Brest,fr Ligue 1,1994,21,19,1663,18.5,10,1,11,0,4,0,6.7,5.9,2.4,8.3,7,32,86,0.05,620,22,54,302,269,309,452,42,2.27,4,0,17,13,15,4,21,17
62,Manuel Akanji,ch SUI,DF,Manchester City,eng Premier League,1995,20,20,1707,19,0,0,0,0,3,0,0.7,0.7,0.4,1.1,38,135,6,0,1591,108,472,773,348,1389,1479,34,1.79,2,3,15,10,11,7,22,55
63,Ümit Akdag,ro ROU,DF,Toulouse,fr Ligue 1,2003,6,6,434,4.8,0,0,0,0,2,0,0.1,0.1,0.1,0.1,3,26,7,0,336,26,126,199,15,231,293,3,0.62,0,0,5,2,8,11,16,15
64,Nathan Aké,nl NED,DF,Manchester City,eng Premier League,1995,10,8,678,7.5,0,0,0,0,0,0,0.2,0.2,0,0.2,12,50,2,0,596,51,205,331,61,509,542,8,1.06,0,1,9,7,7,3,12,22
65,Ilias Akhomach,ma MAR,"MF,FW",Villarreal,es La Liga,2004,11,7,584,6.5,1,0,1,0,1,0,0.6,0.6,1,1.6,30,12,64,0,292,8,44,89,162,136,185,29,4.38,1,0,12,7,8,3,15,13
66,Sergio Akieme,es ESP,DF,Reims,fr Ligue 1,1997,20,19,1673,18.6,1,1,2,0,3,0,0.6,0.6,1.2,1.8,40,63,67,0.05,967,59,346,361,270,627,770,21,1.13,1,4,27,18,20,13,40,56
67,Maghnes Akliouche,fr FRA,"FW,MF",Monaco,fr Ligue 1,2002,22,18,1607,17.9,3,6,9,0,1,0,5.1,5.1,5.2,10.3,84,124,158,0.34,1106,15,112,449,563,696,861,80,4.48,13,0,35,20,14,11,46,7
68,Clément Akpa,ci CIV,DF,Auxerre,fr Ligue 1,2001,22,20,1762,19.6,0,1,1,0,5,0,0.1,0.1,0.9,1,22,57,23,0.05,1068,119,543,436,101,672,835,18,0.92,3,2,44,29,31,29,73,97
69,Jean-Daniel Akpa-Akpro,ci CIV,"MF,DF",Monza,it Serie A,1992,4,3,228,2.5,0,0,0,0,2,0,0,0,0.1,0.1,1,4,2,0,130,8,56,53,21,64,87,3,1.18,0,0,6,3,8,2,8,3
70,David Akpan Ankeye,ng NGA,"FW,MF",Genoa,it Serie A,2002,4,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,1,3,0,9,1,2,3,4,6,7,1,2,1,0,0,0,0,0,0,1
71,Kevin Akpoguma,ng NGA,DF,Hoffenheim,de Bundesliga,1995,23,17,1609,17.9,0,0,0,0,3,0,0,0,0.3,0.3,10,72,12,0,1283,184,590,622,78,927,1051,20,1.12,1,1,32,16,54,21,53,83
72,Chuba Akpom,eng ENG,FW,Lille,fr Ligue 1,1995,4,3,264,2.9,2,0,2,0,0,0,2.2,1.4,0.3,1.7,1,2,16,0,66,2,9,27,31,31,42,8,2.73,1,0,2,1,3,0,2,2
73,David Alaba,at AUT,DF,Real Madrid,es La Liga,1992,4,2,168,1.9,0,0,0,0,1,0,0,0,0,0,2,5,0,0,125,15,62,60,3,104,114,0,0,0,0,0,0,2,3,3,4
74,Andreas Albers,dk DEN,FW,St. Pauli,de Bundesliga,1990,14,0,62,0.7,1,0,1,0,0,0,0.6,0.6,0.1,0.7,1,3,6,0,44,0,2,17,26,15,29,2,2.95,0,0,1,1,0,0,1,1
75,Raúl Albiol,es ESP,DF,Villarreal,es La Liga,1985,15,14,1188,13.2,0,0,0,0,5,0,0.1,0.1,0,0.1,3,34,0,0,915,157,533,369,14,727,813,5,0.38,3,1,10,9,10,6,16,69
76,Carlos Alcaraz,ar ARG,MF,Southampton,eng Premier League,2002,1,0,10,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.2,4,6,1,0,17,0,1,8,9,13,13,1,9,0,0,0,0,0,1,1,0
77,Carlos Alcaraz,ar ARG,MF,Everton,eng Premier League,2002,4,2,199,2.2,1,1,2,0,1,0,0.6,0.6,0.8,1.4,6,9,6,0.45,102,3,24,46,36,61,76,9,4.07,1,0,5,2,3,0,5,3
78,Omar Alderete,py PAR,DF,Getafe,es La Liga,1996,23,23,2046,22.7,0,0,0,0,6,0,0.7,0.7,0.9,1.6,23,81,5,0,1103,137,464,558,89,525,786,28,1.23,4,1,29,19,27,29,58,146
79,Carles Aleñá,es ESP,"MF,FW",Getafe,es La Liga,1998,10,5,452,5,0,0,0,0,1,0,0.9,0.9,0.1,1,3,12,10,0,163,5,26,84,56,93,117,8,1.6,0,0,6,3,9,0,6,7
80,Carles Aleñá,es ESP,"MF,FW",Alavés,es La Liga,1998,3,3,266,3,0,2,2,0,1,0,0.4,0.4,0.5,0.9,9,20,11,0.68,168,0,9,95,65,101,142,19,6.43,2,0,3,2,2,0,3,0
81,Trent Alexander-Arnold,eng ENG,DF,Liverpool,eng Premier League,1998,27,25,2057,22.9,2,6,8,0,4,0,1.3,1.3,6.6,7.9,45,188,81,0.26,1926,80,528,840,570,1229,1680,83,3.63,10,4,64,44,25,28,92,51
82,Alfon,es ESP,"FW,MF",Celta Vigo,es La Liga,1999,15,5,593,6.6,1,1,2,0,0,1,2.6,2.6,1.8,4.4,42,12,70,0.15,242,1,21,59,168,111,159,30,4.55,4,0,4,2,5,3,7,4
83,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,fr Ligue 1,2004,20,18,1360,15.1,3,4,7,0,2,0,3,3,3.1,6.1,65,49,111,0.26,594,9,64,255,291,287,401,52,3.44,11,0,10,7,13,3,13,8
84,Faride Alidou,de GER,"FW,MF",Hellas Verona,it Serie A,2001,3,0,71,0.8,0,0,0,0,0,0,0,0,0,0,1,1,2,0,31,2,5,11,17,16,20,2,2.54,0,1,0,0,1,1,1,3
85,Alisson,br BRA,GK,Liverpool,eng Premier League,1992,20,20,1788,19.9,0,0,0,0,0,0,0,0,0.6,0.6,0,0,0,0,644,471,632,12,0,507,610,5,0.25,0,0,0,0,0,0,0,11
86,Tadeo Allende,ar ARG,FW,Celta Vigo,es La Liga,1999,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0
87,Jim Allevinah,ga GAB,FW,Angers,fr Ligue 1,1995,19,18,1256,14,0,3,3,0,3,0,2.8,2.8,2.3,5,29,37,67,0.21,500,9,102,220,190,259,348,32,2.29,7,0,13,9,9,9,22,16
88,Thiago Almada,ar ARG,"MF,FW",Lyon,fr Ligue 1,2001,6,1,187,2.1,0,0,0,0,1,0,0.1,0.1,0.1,0.2,7,29,10,0,193,3,30,97,66,151,171,12,5.78,3,0,3,1,1,1,4,2
89,Domingos André Ribeiro Almeida,pt POR,"MF,FW",Valencia,es La Liga,2000,23,14,1254,13.9,0,1,1,0,1,0,0.5,0.5,1.5,2,28,87,47,0.07,718,11,90,377,257,490,584,50,3.59,2,1,31,19,14,6,37,9
90,Iker Almena,es ESP,"FW,DF",Girona,es La Liga,2004,2,0,48,0.5,0,1,1,0,0,0,0,0,0.7,0.7,6,2,10,1.87,39,2,4,6,30,23,32,3,5.63,2,0,0,0,1,0,0,2
91,Miguel Almirón,py PAR,FW,Newcastle Utd,eng Premier League,1994,9,1,157,1.7,0,0,0,0,0,0,0.5,0.5,0.3,0.8,3,6,18,0,81,1,10,35,36,54,66,8,4.59,0,0,3,2,2,0,3,0
92,Pontus Almqvist,se SWE,"FW,MF",Parma,it Serie A,1999,24,6,849,9.4,1,1,2,0,4,0,1.6,1.6,1.3,2.9,35,12,72,0.11,382,8,57,128,209,190,252,23,2.44,2,0,13,10,8,14,27,6
93,Marcos Alonso,es ESP,DF,Celta Vigo,es La Liga,1990,20,18,1710,19,1,0,1,1,8,1,1.5,0.7,0.6,1.3,34,133,34,0,1683,144,676,857,174,1313,1491,23,1.21,2,3,23,17,17,25,48,88
94,Giorgio Altare,it ITA,DF,Venezia,it Serie A,1998,12,8,753,8.4,0,0,0,0,2,0,0.2,0.2,0.1,0.3,4,20,5,0,505,60,235,216,57,283,389,5,0.6,0,0,13,12,21,17,30,49
95,Adrià Altimira,es ESP,"DF,FW",Leganés,es La Liga,2001,15,12,1082,12,0,0,0,0,3,0,0.1,0.1,0,0.1,14,31,33,0,563,51,189,275,109,326,410,8,0.67,1,2,30,15,11,12,42,41
96,Sergi Altimira,es ESP,MF,Betis,es La Liga,2001,22,16,1479,16.4,0,1,1,0,3,0,1.6,1.5,1.5,2.9,17,74,21,0.06,1104,36,227,690,194,794,903,37,2.25,1,1,49,29,23,16,65,33
97,Edson Álvarez,mx MEX,MF,West Ham,eng Premier League,1997,22,17,1471,16.3,0,1,1,0,8,1,0.3,0.3,0.8,1.1,19,67,16,0.06,978,57,299,533,153,681,789,23,1.41,2,1,39,20,21,15,54,36
98,Hugo Álvarez,es ESP,"MF,DF",Celta Vigo,es La Liga,2003,22,14,1387,15.4,4,2,6,0,5,0,2.3,2.3,0.8,3.1,66,48,143,0.13,1066,21,235,421,418,698,887,39,2.53,7,1,23,9,18,7,30,25
99,Julián Álvarez,ar ARG,"FW,MF",Atlético Madrid,es La Liga,2000,26,20,1701,18.9,10,2,12,1,4,0,8.1,7.3,2.9,10.2,57,54,114,0.11,816,7,81,330,416,471,633,67,3.54,7,1,19,13,13,0,19,9
100,Yeray Álvarez,es ESP,DF,Athletic Club,es La Liga,1995,15,14,1241,13.8,0,0,0,0,4,0,0.3,0.3,0.2,0.5,15,85,0,0,949,60,366,544,44,675,805,12,0.87,1,1,20,11,7,26,46,63
101,Skelly Alvero,fr FRA,MF,Werder Bremen,de Bundesliga,2002,12,1,236,2.6,0,0,0,0,1,0,0,0,0,0,1,8,0,0,136,15,49,68,19,68,91,2,0.76,0,0,11,6,4,2,13,10
102,Will Alves,eng ENG,FW,Leicester City,eng Premier League,2005,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
103,Selim Amallah,ma MAR,MF,Valladolid,es La Liga,1996,17,13,1021,11.3,3,1,4,1,5,0,2.7,1.9,0.6,2.5,20,36,17,0.09,446,3,62,244,147,233,303,24,2.11,1,1,21,14,17,7,28,3
104,Amath,sn SEN,"FW,DF",Valladolid,es La Liga,1996,9,5,316,3.5,0,1,1,0,1,0,0.4,0.4,0.2,0.6,7,11,21,0.28,126,3,18,54,55,63,83,10,2.84,1,0,1,0,7,2,3,3
105,Jordan Amavi,fr FRA,DF,Brest,fr Ligue 1,1994,11,8,790,8.8,0,0,0,0,2,0,0.3,0.3,0.2,0.4,22,36,21,0,615,20,186,304,131,386,526,14,1.59,1,0,24,17,10,7,31,18
106,Aurele Amenda,ch SUI,DF,Eint Frankfurt,de Bundesliga,2003,4,1,70,0.8,0,0,0,0,1,0,0,0,0.3,0.3,1,1,1,0,55,9,20,31,4,41,47,2,2.54,0,0,0,0,2,1,1,4
107,Kelvin Amian,fr FRA,DF,Nantes,fr Ligue 1,1998,21,15,1478,16.4,1,0,1,0,4,0,0.9,0.9,0.5,1.5,24,45,55,0,732,54,234,308,199,466,580,24,1.46,0,0,41,23,12,7,48,51
108,Michael Amir Murillo,pa PAN,DF,Marseille,fr Ligue 1,1996,23,20,1807,20.1,1,2,3,0,1,0,1.5,1.5,2.5,4,28,110,72,0.1,1605,60,430,930,253,1269,1433,39,1.94,4,3,38,23,14,12,50,51
109,Nadiem Amiri,de GER,MF,Mainz 05,de Bundesliga,1996,21,21,1670,18.6,5,3,8,2,6,2,4,2.4,4.5,6.9,33,137,48,0.16,1412,32,247,783,399,904,1189,74,3.99,8,2,29,15,17,14,43,22
110,Samuel Amo-Ameyaw,eng ENG,"FW,DF",Southampton,eng Premier League,2006,2,0,28,0.3,0,0,0,0,1,0,0,0,0.1,0.1,1,0,3,0,16,0,5,5,7,8,9,2,6.43,0,0,1,0,0,0,1,0
111,Mathis Amougou,fr FRA,MF,Chelsea,eng Premier League,2006,1,0,8,0.1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,1,2,4,3,7,7,0,0,0,0,0,0,0,0,0,0
112,Mathis Amougou,fr FRA,MF,Saint-Étienne,fr Ligue 1,2006,17,9,859,9.5,0,0,0,0,2,0,0.5,0.5,0.4,0.8,8,36,17,0,407,18,104,218,90,232,301,17,1.78,0,0,21,15,10,12,33,4
113,Mohamed Amoura,dz ALG,FW,Wolfsburg,de Bundesliga,2000,22,21,1796,20,9,8,17,1,3,0,6.1,5.3,3.2,8.4,65,44,169,0.4,793,12,84,295,435,373,531,56,2.81,12,0,19,13,29,9,28,18
114,Sofyan Amrabat,ma MAR,MF,Fiorentina,it Serie A,1996,2,2,180,2,0,0,0,0,0,0,0,0,0.1,0.1,2,14,1,0,140,6,24,103,14,112,133,4,2,0,0,3,2,1,0,3,2
115,Joachim Andersen,dk DEN,DF,Crystal Palace,eng Premier League,1996,1,1,90,1,0,0,0,0,1,0,0,0,0,0,1,4,1,0,93,14,38,50,5,61,83,1,1,0,0,1,1,0,0,1,7
116,Joachim Andersen,dk DEN,DF,Fulham,eng Premier League,1996,18,18,1593,17.7,0,0,0,0,3,1,0.4,0.4,0.3,0.7,11,81,1,0,1473,195,748,679,55,1077,1291,16,0.91,1,0,18,14,16,23,41,95
